ja	desc
余剰快雷	味方ターン開始時、味方の「ジョカ」の状態異常が回復する
星の欠片	１ターンの間、自身がダメージを受けなかった場合、次の味方ターン開始時にアイコンが１個増加する
一霊四魂	戦闘開始時、弱点がランダムで決定する
女魔の統率	アクティブにいる間、味方の「女魔」は受けるダメージが減少する
女魔の狡知	アクティブにいる間、味方の「女魔」は魔法攻撃でも確率でクリティカルが発生する
女魔の虚突	アクティブにいる間、味方の「女魔」は命中率と回避率が上昇する
女魔の峻烈	アクティブにいる間、味方の「女魔」はクリティカル率が上昇する
神母の慈愛	自身のＨＰが少ないほど、自身が使用する回復スキルの回復量が上昇する
ムシュマッヘ	自身のＨＰが０になった時、ティアマトのＨＰを吸収し全快で復活する
概念吸収	自身のターン開始時、前ターンに攻撃を受けた弱点属性の防御相性が吸収に変化
繁栄の誓約	自身の全能力が上昇している状態だと、使用した回復スキルのＨＰ及びＭＰ回復量が大幅に増加する
女魔の伉儷	アクティブにいる間、自身と味方の「女魔」は状態異常の敵に対する攻撃が貫通化する
終焉の夜明け	アクティブにいる間、味方全体のクリティカル率が上昇し、更にアタックが貫通化する
まがつひせつやく	アクティブにいる間、味方によりマガツヒスキルが発動された時、消費するマガツヒの量が僅かに減少する
712	712
713	713
714	714
715	715
716	716
717	717
718	718
719	719
720	720
721	721
722	722
723	723
724	724
725	725
726	726
727	727
728	728
729	729
730	730
731	731
732	732
733	733
734	734
735	735
736	736
737	737
738	738
739	739
740	740
741	741
742	742
743	743
744	744
745	745
746	746
747	747
748	748
749	749
750	750
751	751
752	752
753	753
754	754
755	755
756	756
757	757
758	758
759	759
760	760
761	761
762	762
763	763
764	764
765	765
766	766
767	767
768	768
769	769
770	770
771	771
772	772
773	773
774	774
775	775
776	776
777	777
778	778
779	779
780	780
781	781
782	782
783	783
784	784
785	785
786	786
787	787
788	788
789	789
790	790
791	791
792	792
793	793
794	794
795	795
796	796
797	797
798	798
799	799
800	800
猫流獅子烈破	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
爆炎ブレス	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
フロストストーム	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
神雷	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
狂旋風	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
天罰	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
呪いの濁流	<skill_tgt>にレベル依存で特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力と防御力を最低まで低下
ハーベストフェス	<skill_tgt>のＨＰを上限を大きく超えて回復する
禍時：急所	ターン中、<skill_tgt>に弱点攻撃時のダメージが上昇する効果を付与する
四鬼剛陣	<skill_tgt>に次に行う力依存攻撃ダメージを上昇させるチャージ効果を付与。３ターンの間攻撃力を最大まで上昇
四天の法	<skill_tgt>に次に行う魔依存攻撃ダメージを上昇させるチャージ効果を付与。３ターンの間攻撃力を最大まで上昇
妖精の遊戯	<skill_tgt>のＨＰを上限を超えて回復。３ターンの間、全能力を最大まで上昇させ、敵から狙われ易くする
柔軟なボディ	１ターンの間、<skill_tgt>に物理属性攻撃を１度だけ反射する効果を付与する
天使の加護	１ターンの間、<skill_tgt>に魔法属性攻撃を１度だけ反射する効果を付与する
禍時：没収	ターン中、味方全体に撃破した敵のアイテムが確定でドロップする効果を付与する
ダーナの叡智	プレスターンアイコンがターン開始時の状況まで回復する
秩序の逆波	<skill_tgt>のＨＰを中回復。状態異常と能力低下を消去し、次の自ターンのプレスターンアイコンを１個増加する
秩序の霧雨	<skill_tgt>のＭＰを大回復し、次の自ターンのプレスターンアイコンを１個増加する
秩序の流泉	自身のＨＰを上限を大きく超えて回復し、次の自ターンのプレスターンアイコンを１個増加する
混沌の荒波	<skill_tgt>にレベル依存による<skill_minhit>～<skill_maxhit>回大威力の<skill_elm 0>属性攻撃。次の相手ターンのアイコン１個減少
混沌の豪雨	<skill_tgt>にレベル依存で特大威力の<skill_elm 0>属性攻撃。確率で瀕死にし、次の相手ターンのアイコン１個減少
混沌の噴泉	<skill_tgt>にレベル依存で特大威力の<skill_elm 0>属性攻撃。能力上昇効果を消去し、次の相手ターンのアイコン１個減少
禍時：追撃	ターン中、<skill_tgt>に敵を倒すごとにプレスターンアイコンが１個増加する効果を付与する
禍時：倹約	ターン中、<skill_tgt>にプレスターンアイコン消費が半分になる効果を付与する
禍時：自在	ターン中、<skill_tgt>にＣＨＡＮＧＥとＰＡＳＳのプレスターンアイコンが消費０になる効果を付与する
終焉のカディシュ	<skill_tgt>に<skill_maxhit>回レベル依存で大威力の<skill_elm 0>属性攻撃。高い確率で魅了を付加する。攻撃後味方全体のＨＰを大回復
827	827
828	828
829	829
地母の晩餐	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
螺旋龍水穿	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
ミラージジャダー	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
絡まる緑毛	専用スキル／<skill_tgt>に確率で<skill_bst 0>を付加し、３ターンの間、攻撃力を１段階低下させる
834	834
835	835
ジャックアギラオ	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。３ターンの間、攻撃力を１段階低下させる
ゲイルチャージ	専用スキル／<skill_tgt>に<skill_minhit>回力依存による中威力の<skill_elm 0>属性攻撃。必ずクリティカルが発生する
838	838
乙女の間食	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性によるＨＰＭＰ吸収攻撃。対象が魅了時、威力が大幅に上昇する
840	840
ゲイ・ボルグ	専用スキル／<skill_tgt>に力依存による中威力、貫通効果の<skill_elm 0>属性攻撃。必ず命中しクリティカルが発生する
神の大盾	次のターンまで<skill_tgt>に被ダメージを大幅に軽減する効果を付与する
貫く神気	<skill_tgt>に次に行う全ての攻撃のダメージが著しく上昇し、相性を無視して貫通するチャージ効果を付与する
ヘルズアイ	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。相性を無視して貫通し、弱点をついた時、高確率で瀕死にする
845	845
846	846
847	847
至高の魔弾	<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル率が高い
天誅殺	専用スキル／<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
ディアラマ	味方単体のＨＰを中回復する
マラマラダンス	専用スキル／<skill_tgt>に確率で<skill_bst 0>を付加。対象が魅了時、非常に高い確率で瀕死にする
メディラマ	味方全体のＨＰを中回復する
神の毒	専用スキル／<skill_tgt>に高確率で<skill_bst 0>を付加し、３ターンの間、命中・回避率を２段階低下させる
幻影召喚	サマエルの伴侶である悪魔の影を召喚する
木花之栄	専用スキル／戦闘中、<skill_tgt>のＨＰとＭＰを小回復し、３ターンの間、全能力を１段階上昇させる
木花之栄	専用スキル／戦闘中、<skill_tgt>のＨＰとＭＰを小回復し、３ターンの間、全能力を１段階上昇させる
木花之栄・繚乱	<skill_tgt>のＨＰとＭＰを中回復し、３ターンの間、全能力を最大まで上昇させる
ヘリオポリスの暁	専用スキル／<skill_tgt>に特大威力、貫通効果の<skill_elm 0>属性攻撃。３ターンの間、攻撃力を１段階低下させる
859	859
860	860
深淵への誘い	<skill_tgt>に小威力の<skill_elm 0>属性によるＨＰMＰ吸収攻撃。確率で<skill_bst 0>を付加する
混沌創造	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。攻撃後、自身の防御相性を初期状態に戻す
滾るマステマ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。必ずクリティカルする。クリティカル時、威力が上昇する
汚れ無き風	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加。３ターンの間、対象の全能力を２段階低下
原初の海	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通し、能力上昇効果を消去する
コラプスレイ	<skill_tgt>に特大威力の<skill_elm 0>属性攻撃
コラプスレイ	867
キングオブテイル	専用スキル／３ターンの間、<skill_tgt>を敵から狙われ易くし、攻撃力を最大まで上昇させる
４のつぎ	専用スキル／<skill_tgt>に小威力の<skill_elm 0>属性攻撃。確率で瀕死にする
良気の流布	専用スキル／<skill_tgt>の状態異常と能力低下を消去する
ロストヒット	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。確率で瀕死にする
こーじんらせんざん	専用スキル／<skill_tgt>に<skill_minhit>回力依存による小威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
審判の光	専用スキル／<skill_tgt>に<skill_minhit>～<skill_maxhit>回中威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
天誅殺	専用スキル／<skill_tgt>に力依存による特大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
初めに闇ありき	専用スキル／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。チャージ効果とバリア効果を解除する
876	876
877	877
878	878
母なる土壌	専用スキル／１ターンの間、<skill_tgt>に物理属性攻撃を１度だけ無効化する効果を付与し能力低下効果を消去
従魔の行軍	専用スキル／<skill_tgt>に<skill_maxhit>回極小威力の<skill_elm 0>属性攻撃
歓喜への誘い	専用スキル／<skill_tgt>に高い確率で<skill_bst 0>を付加し、能力上昇効果を消去する
悪しき果実の貪り	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性によるＨＰ吸収攻撃。対象が状態異常時、威力が上昇する
氷結の小秘石	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
破魔の小秘石	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
睡眠の秘石	<skill_tgt>に確率で<skill_bst 0>を付加する
道返玉	ＨＰが０の味方単体をＨＰ半分で復活させる
日輪の光	専用スキル／<skill_tgt>のＨＰを中回復し、状態異常を回復する
ディアムリタ	<skill_tgt>のＨＰを中回復し、状態異常を回復する
終焉のカディシュ	<skill_tgt>に<skill_maxhit>回レベル依存で大威力の<skill_elm 0>属性攻撃。高い確率で魅了を付加する。攻撃後味方全体のＨＰを大回復
890	890
ハニートラップ	891
バイナルボム	892
敵対するもの	893
乾坤圏	894
熱望の神秘	895
和多志大神の怒り	896
家守の獣雷	897
野分	898
正義の断罪	899
死門敲き	900
原初の母	ＨＰが０の味方単体をＨＰ半分で復活させ召喚する
ブフ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃
ラクンダ	３ターンの間、<skill_tgt>の防御力を１段階低下させる
グラム・カット	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。クリティカル率が高い
チャージ	<skill_tgt>に次に行う力依存攻撃のダメージを上昇させるチャージ効果を付与する
ブフーラ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
終焉のカディシュ	907
絶・閃光斬烈牙	専用スキル／<skill_tgt>に大威力の<skill_elm 0>属性攻撃。クリティカル時、威力が上昇する
日輪の光	専用スキル／<skill_tgt>のＨＰを中回復し、状態異常を回復する
某を見よ	専用スキル／３ターンの間、敵から狙われ易くなり、命中・回避率を２段階上昇させる
ハマ	<skill_tgt>に小威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
マハンマオン	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。弱点をついた時、確率で瀕死にする
カゲロウシュート	専用スキル／<skill_tgt>に中威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
ザンマ	<skill_tgt>に中威力の<skill_elm 0>属性攻撃
トラフーリ	逃走可能なバトルから確実に逃走する
警戒のフホホイ	専用スキル／３ターンの間、<skill_tgt>の防御力と命中・回避率を１段階上昇させる
毒ガスブレス	<skill_tgt>に確率で<skill_bst 0>を付加する
幻月閃光	ナホビノ専用／<skill_tgt>に<skill_maxhit>回力依存による中威力の<skill_elm 0>属性攻撃。前ターンに敵攻撃回避時のみ使用可能
メギドアーク	専用スキル／<skill_tgt>に中～特大威力の<skill_elm 0>属性攻撃。対象のパーティ人数が多いほど威力が上昇する
朧月	920
佐世木ノ舞	ナホビノ専用／マガツヒゲージが大きく上昇する。ターン中１度だけ使用可能
神ノ忌火	ナホビノ専用／３ターンの間、<skill_tgt>の全能力を２段階上昇させる
天弓花風	ナホビノ専用／<skill_tgt>に中～特大威力の<skill_elm 0>属性攻撃。対象の能力低下効果が多いほど威力が上昇する
月下氷霜	ナホビノ専用／<skill_tgt>に特大威力の<skill_elm 0>属性攻撃。相性を無視して貫通する
月風連刃	ナホビノ専用／<skill_tgt>に力依存による小威力の<skill_elm 0>属性複数回攻撃。攻撃回数は自身と対象の速により変化する
鏡花水月	ナホビノ専用／１ターンの間、<skill_tgt>に攻撃を１度だけ必ず回避する効果を付与する
月暦干渉	ナホビノ専用／戦闘中、<skill_tgt>のＭＰを小回復し、プレスターンアイコンを消費せず次の者に行動順をまわす
分神創造	<skill_tgt>に次に使う攻撃スキルが４連続で発動するチャージ効果を付与する
リベラマ	次の新月まで、エネミーシンボルが逃げなくなり、連続エンカウント発生率が上昇する
メギドアーク	専用スキル／<skill_tgt>に中～特大威力の<skill_elm 0>属性攻撃。対象のパーティ人数が多いほど威力が上昇する
禍つ霊収奪	<skill_tgt>のＨＰを吸収。吸収した味方に応じて自身の防御相性と所持スキル、マガツヒスキルが変化する
932	932
集うマガツヒ	933
ビッグバン	<skill_tgt>にレベル依存による特大威力の<skill_elm 0>属性攻撃
至高の魔弾・改	<skill_tgt>にレベル依存による特大威力の<skill_elm 0>属性攻撃
ソウルドレイン	<skill_tgt>にレベル依存による大威力の<skill_elm 0>属性ＨＰＭＰ吸収攻撃
昏睡波	<skill_tgt>に大威力の<skill_elm 0>属性攻撃。確率で<skill_bst 0>を付加する
常世の祈り	<skill_tgt>のＨＰと状態異常を全回復する
変若水	<skill_tgt>のＨＰとＭＰを全回復する
呪毒散布	<skill_tgt>に何らかの状態異常を非常に高い確率で付加し、３ターンの間、全能力を１段階低下させる
羅刹王の宴	３ターンの間、<skill_tgt>の全能力を最低まで低下させる
妖精王の宴	３ターンの間、<skill_tgt>の全能力を最大まで上昇させる
神の大盾	次のターンまで<skill_tgt>に被ダメージを大幅に軽減する効果を付与する
貫く神気	<skill_tgt>に次に行う全ての攻撃のダメージが著しく上昇し、相性を無視して貫通するチャージ効果を付与する
デカジャオン	<skill_tgt>のあらゆる有効効果を消去し、状態異常の耐性値を戦闘開始時の状態に戻す
仲間を呼んだ	946
947	947
948	948
949	949
集うマガツヒ	950
